1:54 | SirBludro: I thought you werent gonna come 
1:55 | Laszlo De Maeyer: (echo echo)
1:55 | Josh Lopez: whats up with the sound?
1:55 | scapegoateyes: LETS GO BOY
1:55 | Sofia H: 
1:55 | mynameis ares: ECHO
1:55 | Zype: Echoo
1:55 | Tadgee: mic echoing
1:55 | Rop pie: poog
1:55 | SpawnSoul1337: echo
1:56 | Spac3: ECHOING
1:56 | TommyTaylor__ Poker: @Gross Gore - Ali Larsen I see good things for you stay strong my man
1:56 | Herculete: echo echo echo
1:56 | WAATCHEr: glad your back
1:57 | WREQ: MY MAN 
1:57 | Ruletas: Buenos días
1:57 | Trogdoor147: finally
1:57 | (New member) spicydan: theres an echo 
1:57 | kacper: MIC WutFace
1:57 | Ghazi Zensibal: echo?
1:58 | XVG TriangleMan: echo echo
1:58 | Floyd Mayweather 50-0: ayoo
1:58 | Josh Lopez: ehcoing
1:58 | peepoHungry: WELCOME 
1:59 | Sofia H: YOUTUBE Pog
1:59 | kristus: ECHO 
1:59 | scapegoateyes: WE STILL BIG
1:59 | WannabeMadlife: GROSSIEEEE WE WILL ALWAYS SUPPORT U ANYWHERE WEEEEE LOVEEEE UUU TOOOOOO MUCHHHH      
1:59 | Karl Sai: ECHO!!!!
2:00 | Nick Nelson: youtube better anyways
2:00 | farza: wait this isnt twitch KEKW
2:00 | Daniel: hey gore
2:00 | Joe: mic wutface
2:01 | Zype: POGGG
2:01 | Ob1star: My prime doesn't work? KEKW
2:01 | Darnelle Jagmohan: HI GROSSIE
2:02 | Your Maker: echo pogg
2:03 | GingeLive: TURN A MIC OFF
2:03 | (New member) Jose Luis: KEKW
2:03 | TheRealRocknRolla: love you bruf
2:04 | Rouf & Straw: Grossieeee
2:04 | FRAMFRONT: :yt::yt::yt::yt::yt::yt::yt:
2:04 | carepofds: WE LOVE YOU GROSS
2:04 | ADRI O: grossie twitch is wrong
2:04 | kacper: ECHO WUTFACE
2:04 | Michael Milizia: Hi gross
2:05 | CMON B: It's all gonna be good bro 
2:05 | peepoHungry: FUCK TIWTCH
2:05 | Mang0 Gamin: yep kekw
2:05 | Spac3: ECHO
2:05 | TeamSoloKappa: WAYTOODANK
2:05 | MrEclipse207: hey ali, keep your chin up bro. things will work out
2:05 | Ben Mooney: what’s the TTS like on youtube 
2:05 | fat tony: WASSUP GROSSIEEE
2:05 | Max Power: ayyyyyy
2:05 | Orbless: ECHO
2:05 | TM. Namokun: Hello
2:05 | biggyBeatLoL: lmao
2:06 | K DB: Yooo Grossie much love man, I'll follow you to any platform buddy
2:06 | Djordje Rendulic: u dont need twitch
2:06 | WREQ: <FUCK TWITCH ASS
2:07 | Jeffrey Gionet: 
2:07 | lilShaiiko420: MY BAE
2:07 | cool guy: 2 mics 
2:07 | Floyd Mayweather 50-0: TriHard 7
2:08 | Felipe Guerrero: echo
2:08 | Sten Raud: POG
2:08 | Kyuu: mic is echoing
2:08 | Bobo: AYYYYYYYYYY
2:09 | lilShaiiko420: I LOVE YOU
2:09 | Ramones Brandon: Echo bruv 
2:10 | Mang0 Gamin: memeber pogs
2:10 | Caetano Yamamoto: stay strong grossie
2:10 | blu: BRB @Gross Gore - Ali Larsen 
2:11 | Adamshere: ECHO
2:11 | Khoi Vo: mic echo
2:11 | Barry: YOOOOOOOOOOOOOOOOOOO @Gross Gore - Ali Larsen 
2:11 | Mirko Djokovic: youtube 
2:11 | SirBludro: :buffering:
2:11 | Lou Four: #freegore
2:12 | (New member) Thermal Man: Screw TTV Ali, we got you
2:12 | Kinxzy: PeepoHappy
2:13 | Rannie: Will you still upload highlights on youtube?
2:13 | farza: Back to youtube KEKW
2:13 | William Osgood: WOOOOO
2:13 | Mulaekz: SHEEEEEEESH BRO YOU LOOOKING FIRE!
2:14 | Santiago Giraldo: Love you Grossie
2:15 | Spac3: POG
2:15 | yousif 28: Hey grossie
2:16 | peepoHungry: WAYTOODANK
2:16 | Nesh: YOO
2:17 | Daxon: BRUV KEKW
2:17 | H Xian: It’s youtube intro time
2:18 | ben: <3
2:18 | polaroid: 
2:18 | Jona: What happening
2:18 | Whisper: Wait . Why are you streaming youtube not twitch btw?
2:18 | iKyleTz: Let’s go baby !!!
2:20 | New Wildys: GROSSIE
2:20 | hox20s: YOOOOOOOOO
2:20 | Valiency: #freegore
2:20 | Ed11trax: wait what. why are you not on twitch?
2:21 | Lou Four: #freegore
2:21 | Robin Patanakarun: you did not desevre ban
2:21 | Laszlo De Maeyer: the membership sound is cringe ? can we change it 
2:21 | Maxine: Hi grossie
2:21 | Oussama Imed: name me abetter TF then me
2:21 | Matias Céspedes: hey grossieeee!!!
2:21 | Bobo: FIXED
2:21 | XiaoYu Jiang: tts will be missed
2:21 | Chris Horscroft: POGGGGGGGGGGGGGGGGGG
2:21 | mynameis ares: POG
2:22 | Sofia H: Pog
2:22 | Oshrat: very unfair ban mate
2:22 | (New member) Hates: the chat is so small
2:22 | Tak Tak: HELLO BOSS
2:23 | Sofia H: FOXED
2:24 | zSword! [GD]: eyyyy
2:24 | Gilbo - Cryptomundo: Hey my man
2:24 |  : HEYYY GROSSIE
2:24 | AlexS97: PogU
2:24 | Markowz: BUGGA
2:24 | Nose Bleed: wew
2:24 | Liam Day: That's better hahha
2:25 | ExpertProdigy: Hi Ali
2:25 | Nose Bleed: wew
2:25 | callofduty60: AYYYYYE GROSSSSS GOREEEEE
2:25 | Sofia H: FIXED
2:26 | Nose Bleed: ew
2:26 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON? 
2:26 | Nose Bleed: wew
2:26 | Murat: 3Heading
2:26 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON? 
2:26 | Nose Bleed: wew
2:26 | blu: @Gross Gore - Ali Larsen ILL BRB LOVE YOU BRO
2:26 | Lorenzo Mariano: Hi @grossie_gore iloveyouuuu
2:26 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON? 
2:27 | Scopez: YouTube Pog 
2:27 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON? 
2:27 | Munir: yooo
2:27 | Omgg: Not Mucking Around LOL
2:27 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON? 
2:27 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON? 
2:27 | SHUN: what happened with Twitch Grossie?
2:28 | peepoHungry: TSHIRT POG TSHIRT POG TSHIRT POG TSHIRT POG 
2:29 | Ahmed Hany: Fuck twitch ur the best 
2:29 | UnknownGamer: Luv you grossie
2:29 | : bruvkek
2:29 | DesireLoL: @Gross Gore - Ali Larsen 8-0 today? M3
2:29 | Floyd Mayweather 50-0: TriHard 7 ayoo
2:29 | Zane Hanlon: 
2:29 | Robbe Potargent: NEVER GO ON TWITCH BUT ON YOUTUBVE I WILL ACTUALLY WATCH YOU
2:29 | YourMumGay: Why so many dislikes?
2:29 | Pawe Drozda: hiii
2:30 | issam belcaid: HEEEEYYYYYyyy
2:30 | Freakson: BANNED
2:30 | XQube-M Player: Hi
2:30 | Adrian: HI GROSSIEEE!!!!!!!
2:31 | iKyleTz: We’re here bro fuck twitch 
2:31 | Bruno Marques: why yt
2:31 | Not The Barrel: yyessss
2:32 | Real Nimrod: Yo grossiee 
2:32 | Heinz: 550 viewer andy
2:32 | Bobo: CHAT GOING SO FSAST
2:32 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON???
2:32 | Dnu Puiu: dude i believe you
2:32 | zSword! [GD]: <3
2:35 | Los Santos Virtuoso: support
2:35 | Zype: 
2:35 | Avve: hey grossie my man  
2:36 | Alex Darkside: KEKW
2:36 | Der Germane: BANNED Pog
2:36 | Mitchel Sip: GROSSIE we love you 
2:36 | Maxine: Add 3Heading
2:37 | Widehardo Bumble: KILL GROSS GORE KILL FUCKING GROSS GORE. GROSS GORE FUCKING HATES EM. THROW A BRICK THROUGH 8 WHITE WILLOW CLOSE WINDOW. KEBABS SOON??????
2:38 | Theo: im sorry bruv
2:39 | Mohamed Ayman: hi
2:39 | Gabriel Martinez: LETSS GOOO!!!!!!!
